PSD_ID,Low_size,High_size,Bin_concentration,shape_factor,dimention
W2W_sediment_all,295,300,3,0,3
W2W_sediment_all,300,305,4,0,3
W2W_sediment_all,305,310,1,0,3
W2W_sediment_all,310,315,3,0,3
W2W_sediment_all,315,320,2,0,3
W2W_sediment_all,325,330,4,0,3
W2W_sediment_all,330,335,3,0,3
W2W_sediment_all,335,340,2,0,3
W2W_sediment_all,345,350,2,0,3
W2W_sediment_all,350,355,4,0,3
W2W_sediment_all,355,360,1,0,3
W2W_sediment_all,365,370,1,0,3
W2W_sediment_all,370,375,2,0,3
W2W_sediment_all,375,380,2,0,3
W2W_sediment_all,380,385,5,0,3
W2W_sediment_all,385,390,1,0,3
W2W_sediment_all,390,395,1,0,3
W2W_sediment_all,395,400,1,0,3
W2W_sediment_all,400,405,1,0,3
W2W_sediment_all,405,410,3,0,3
W2W_sediment_all,410,415,2,0,3
W2W_sediment_all,415,420,1,0,3
W2W_sediment_all,425,430,3,0,3
W2W_sediment_all,435,440,2,0,3
W2W_sediment_all,455,460,1,0,3
W2W_sediment_all,460,465,1,0,3
W2W_sediment_all,470,475,1,0,3
W2W_sediment_all,480,485,2,0,3
W2W_sediment_all,485,490,1,0,3
W2W_sediment_all,490,495,1,0,3
W2W_sediment_all,510,515,1,0,3
W2W_sediment_all,515,520,1,0,3
W2W_sediment_all,520,525,1,0,3
W2W_sediment_all,525,530,1,0,3
W2W_sediment_all,535,540,1,0,3
W2W_sediment_all,540,545,1,0,3
W2W_sediment_all,555,560,3,0,3
W2W_sediment_all,560,565,1,0,3
W2W_sediment_all,570,575,2,0,3
W2W_sediment_all,575,580,1,0,3
W2W_sediment_all,580,585,1,0,3
W2W_sediment_all,585,590,1,0,3
W2W_sediment_all,600,605,1,0,3
W2W_sediment_all,625,630,2,0,3
W2W_sediment_all,645,650,1,0,3
W2W_sediment_all,655,660,1,0,3
W2W_sediment_all,695,700,1,0,3
W2W_sediment_all,835,840,1,0,3
W2W_sediment_all,880,885,1,0,3
W2W_sediment_all,930,935,2,0,3
W2W_sediment_all,950,955,1,0,3
W2W_sediment_all,1050,1055,1,0,3
W2W_sediment_all,1115,1120,1,0,3
W2W_sediment_all,1150,1155,1,0,3
W2W_sediment_all,1285,1290,1,0,3
W2W_sediment_fragment,50,55,66,0,3
W2W_sediment_fragment,60,65,76,0,3
W2W_sediment_fragment,70,75,10,0,3
W2W_sediment_fragment,80,85,89,0,3
W2W_sediment_fragment,95,100,33,0,3
W2W_sediment_fragment,100,105,59,0,3
W2W_sediment_fragment,115,120,51,0,3
W2W_sediment_fragment,120,125,2,0,3
W2W_sediment_fragment,125,130,36,0,3
W2W_sediment_fragment,130,135,5,0,3
W2W_sediment_fragment,135,140,46,0,3
W2W_sediment_fragment,145,150,15,0,3
W2W_sediment_fragment,150,155,9,0,3
W2W_sediment_fragment,155,160,20,0,3
W2W_sediment_fragment,165,170,6,0,3
W2W_sediment_fragment,170,175,16,0,3
W2W_sediment_fragment,175,180,6,0,3
W2W_sediment_fragment,180,185,14,0,3
W2W_sediment_fragment,185,190,3,0,3
W2W_sediment_fragment,190,195,11,0,3
W2W_sediment_fragment,200,205,7,0,3
W2W_sediment_fragment,205,210,11,0,3
W2W_sediment_fragment,215,220,14,0,3
W2W_sediment_fragment,220,225,5,0,3
W2W_sediment_fragment,225,230,10,0,3
W2W_sediment_fragment,230,235,5,0,3
W2W_sediment_fragment,235,240,4,0,3
W2W_sediment_fragment,240,245,4,0,3
W2W_sediment_fragment,255,260,3,0,3
W2W_sediment_fragment,260,265,6,0,3
W2W_sediment_fragment,270,275,2,0,3
W2W_sediment_fragment,275,280,3,0,3
W2W_sediment_fragment,280,285,5,0,3
W2W_sediment_fragment,285,290,1,0,3
W2W_sediment_fragment,290,295,2,0,3
W2W_sediment_fragment,295,300,2,0,3
W2W_sediment_fragment,300,305,2,0,3
W2W_sediment_fragment,310,315,3,0,3
W2W_sediment_fragment,325,330,1,0,3
W2W_sediment_fragment,330,335,3,0,3
W2W_sediment_fragment,335,340,1,0,3
W2W_sediment_fragment,345,350,2,0,3
W2W_sediment_fragment,350,355,1,0,3
W2W_sediment_fragment,365,370,1,0,3
W2W_sediment_fragment,370,375,1,0,3
W2W_sediment_fragment,375,380,2,0,3
W2W_sediment_fragment,385,390,1,0,3
